,nome,cpf,idade,data,endereco,estado,pais,nivel_educacao,salario,numero_filhos,estado_civil,area_atuacao
2499,Sr. Yago Câmara,019.564.238-42,34,20/05/1990,"Favela Sousa, 101
Aarão Reis
63975-688 das Neves dos Dourados / AM",Rio de Janeiro,Brasil,Ensino Médio,20407,2,Solteiro(a),Administração
2500,Maria Flor Cunha,927.180.563-12,33,20/10/1990,"Pátio de Jesus, 27
Milionario
33290-174 Araújo do Sul / RN",Goiás,Brasil,Mestrado,18278,1,Viúvo(a),Engenharia
2501,Maitê Leão,679.341.208-69,33,17/04/1991,"Morro Guerra, 893
Vila Santa Monica 2ª Seção
26500-257 Mendes / PE",Rio Grande do Sul,Brasil,Ensino Superior,22107,4,Divorciado(a),Tecnologia
2502,Diogo Melo,073.965.821-21,40,27/04/1984,"Rodovia Mariane Azevedo, 88
Boa Esperança
97901813 Rezende / MS",São Paulo,Brasil,Doutorado,25096,0,Casado(a),Administração
2503,Laura da Rosa,613.528.709-59,57,18/11/1966,"Lago Felipe da Rosa, 7
Petropolis
35721537 Pacheco / ES",Ceará,Brasil,Ensino Superior,3751,0,Solteiro(a),
2504,Rebeca Ribeiro,389.145.762-64,20,14/03/2004,"Vereda Alexandre Gonçalves, 7
Coração De Jesus
15059-453 Nunes / RN",Acre,Brasil,Mestrado,20298,0,,
2505,Lorena Vargas,836.709.215-59,34,02/05/1990,"Vereda de Viana, 91
Havaí
77074-852 Rezende / TO",São Paulo,Brasil,Ensino Médio,6702,1,Casado(a),Marketing
2506,Kaique Sales,427.058.169-76,50,11/11/1973,"Estação Miguel Almeida, 5
Parque São José
65188430 Cassiano de Brito / RO",Goiás,Brasil,Pós-Graduação,6254,4,Divorciado(a),Marketing
2507,Dr. Brayan Cunha,409.716.283-78,40,04/10/1983,"Trecho de Dias, 2
Santo André
58301805 da Mota / CE",Sergipe,Brasil,Ensino Médio,10881,3,,Saúde
2508,Eduarda Jesus,147.289.650-58,20,16/09/2003,"Loteamento Davi Lucca Fogaça, 810
Buraco Quente
55542128 Pires / CE",Pernambuco,Brasil,Mestrado,24435,0,Casado(a),Engenharia
2509,Levi Machado,683.729.045-29,24,16/06/2000,"Rodovia Rios, 76
Camponesa 2ª Seção
94782968 Sousa / PR",Espírito Santo,Brasil,Pós-Graduação,4726,3,Divorciado(a),Engenharia
2510,Lara Mendonça,829.041.357-23,45,25/07/1979,"Viaduto Milena Ramos, 19
Candelaria
68884747 Mendes / RO",Espírito Santo,Brasil,Doutorado,14910,3,,Educação
2511,Dr. Rhavi Oliveira,014.839.562-70,44,13/01/1980,"Largo Vitor Hugo da Rocha, 90
Jardim São José
04779-717 Marques / DF",Bahia,Brasil,Ensino Médio,28247,2,Divorciado(a),Saúde
2512,Dra. Maria Clara Sousa,897.321.450-05,39,08/05/1985,"Condomínio Lima
São Francisco
11860-427 das Neves / MS",Alagoas,Brasil,Pós-Graduação,2369,1,,Tecnologia
2513,Sabrina Ferreira,278.695.410-01,39,08/07/1985,"Via de Monteiro, 41
Vila Paris
32323023 Lima / RR",Espírito Santo,Brasil,Ensino Superior,27923,2,,
2514,Danilo Almeida,074.981.625-20,19,25/03/2005,"Loteamento de Brito, 36
Taquaril
16912367 Novais / DF",Maranhão,Brasil,Mestrado,13255,3,Viúvo(a),Tecnologia
2515,Sr. Yuri Lima,135.940.278-05,46,17/01/1978,"Núcleo Vargas
Conjunto Providencia
14993-112 Montenegro / AP",Rio Grande do Norte,Brasil,Ensino Fundamental,17867,4,Casado(a),Marketing
2516,Maria Helena Gomes,509.423.761-61,57,17/06/1967,"Condomínio Barbosa, 74
Gameleira
92892475 Melo de Ramos / PR",Rio Grande do Norte,Brasil,Ensino Superior,19490,2,,Tecnologia
2517,Ravi Lucca Montenegro,641.259.370-52,56,23/05/1968,"Feira Lorena Cassiano, 79
Lourdes
63940072 Nunes da Prata / PE",Ceará,Brasil,Ensino Médio,17437,0,Solteiro(a),Administração
2518,Dante da Rocha,725.841.960-85,56,22/06/1968,"Estação Léo Lopes, 78
Jardim Dos Comerciarios
57706-142 Aparecida do Norte / PA",Santa Catarina,Brasil,Mestrado,12934,1,Casado(a),Engenharia
2519,Arthur Siqueira,068.953.742-56,59,27/12/1964,"Morro Teixeira, 79
Canaa
87875-544 da Luz do Amparo / DF",Paraná,Brasil,Ensino Fundamental,3985,0,Casado(a),Administração
2520,Marina Câmara,473.510.268-07,31,07/05/1993,"Lagoa Nogueira, 6
Guarani
11402-176 Freitas de Santos / AP",Pará,Brasil,Ensino Superior,1820,4,Viúvo(a),Educação
2521,Aurora Pires,867.013.529-95,58,07/02/1966,"Área Câmara
Atila De Paiva
53284199 Barros / RO",Pernambuco,Brasil,Doutorado,14759,4,,Engenharia
2522,Anthony Fogaça,713.524.608-07,41,16/09/1982,"Via de Rodrigues
Estrela
47074365 Silveira do Sul / ES",Distrito Federal,Brasil,Pós-Graduação,18711,4,Viúvo(a),Saúde
2523,Sra. Emanuella Araújo,825.390.714-14,34,12/05/1990,"Condomínio Borges, 510
Minaslandia
42624-054 Novais / CE",Santa Catarina,Brasil,Ensino Superior,24288,0,,Saúde
2524,Dra. Ayla Cunha,967.435.210-43,60,26/06/1964,"Trevo de Borges, 62
Ouro Preto
43568457 Farias de da Rosa / RJ",Acre,Brasil,Ensino Superior,27420,0,Viúvo(a),Saúde
2525,Thales Monteiro,312.795.846-37,29,15/07/1995,"Quadra da Mota, 69
Monsenhor Messias
76304786 Guerra / MG",Espírito Santo,Brasil,Ensino Médio,29195,3,,Administração
2526,Ana Clara Dias,096.832.471-13,42,10/09/1981,"Morro Natália Monteiro, 43
São Jorge 1ª Seção
83285082 Pacheco / SP",Pernambuco,Brasil,Pós-Graduação,7316,1,Viúvo(a),Administração
2527,Ester Lopes,274.351.690-99,21,03/07/2003,"Setor Daniela Martins
Capitão Eduardo
50573-397 Fogaça / MA",Minas Gerais,Brasil,Ensino Médio,2802,1,Viúvo(a),Marketing
2528,Luiz Otávio Sampaio,132.589.074-04,56,06/05/1968,"Quadra Machado, 127
Nossa Senhora Do Rosário
77344-821 Dias de Montenegro / GO",Paraná,Brasil,Ensino Superior,10167,0,Solteiro(a),Engenharia
2529,Yan Borges,284.596.730-65,59,29/11/1964,"Distrito de Viana
Ademar Maldonado
11153760 da Mota Alegre / PB",Santa Catarina,Brasil,Ensino Superior,26504,3,Viúvo(a),Engenharia
2530,Benjamin Pires,297.861.043-31,32,11/08/1992,"Setor Paulo Dias, 265
Nossa Senhora Da Conceição
02771-886 Casa Grande de Dias / GO",Espírito Santo,Brasil,Pós-Graduação,11899,2,Solteiro(a),Marketing
2531,Gabriela Sousa,915.378.206-21,35,12/04/1989,"Lagoa de Pastor, 62
Vila Madre Gertrudes 2ª Seção
22083-088 Pinto de Marques / AM",Tocantins,Brasil,Ensino Médio,29018,0,Viúvo(a),Marketing
2532,Fernando Nunes,709.516.243-34,19,30/09/2004,"Chácara Laura Cardoso, 186
Jardim Dos Comerciarios
94378-254 Rodrigues de Minas / RO",Distrito Federal,Brasil,Mestrado,26098,4,Viúvo(a),
2533,Dra. Mariane Câmara,107.432.895-79,23,29/06/2001,"Aeroporto Daniel Jesus, 25
Vila Bandeirantes
52666088 Pereira da Praia / MG",Distrito Federal,Brasil,Mestrado,14751,2,Solteiro(a),Marketing
2534,Daniel Pastor,326.014.897-31,47,27/10/1976,"Praia Henry Fonseca, 15
Vila Esplanada
01841-856 Freitas / RJ",Piauí,Brasil,Ensino Fundamental,21179,0,Casado(a),Marketing
2535,Arthur Farias,241.708.935-14,48,16/05/1976,"Área Fogaça, 82
Novo Aarão Reis
65033705 Nogueira / AL",Rio de Janeiro,Brasil,Ensino Fundamental,4642,2,Divorciado(a),Saúde
2536,Isabel da Costa,258.673.041-08,22,01/08/2002,"Avenida Casa Grande, 87
Vila Madre Gertrudes 2ª Seção
19273-707 Fonseca / SP",Amapá,Brasil,Mestrado,15038,0,Solteiro(a),Educação
2537,Arthur Miguel Freitas,,41,23/01/1983,"Estação Sá
Vila Copacabana
57625292 da Cruz / ES",Rio Grande do Norte,Brasil,Ensino Fundamental,13586,0,Solteiro(a),Administração
2538,Gael Henrique Nogueira,349.152.870-41,18,18/07/2006,"Estrada de Sales, 11
Aguas Claras
41211-907 Novaes das Flores / SP",Minas Gerais,Brasil,Doutorado,2555,4,Solteiro(a),Saúde
2539,Dr. Vitor Hugo Oliveira,517.962.843-19,55,17/08/1969,"Passarela Letícia Silveira, 18
João Pinheiro
65655518 Pacheco / ES",Bahia,Brasil,Ensino Fundamental,8060,1,Solteiro(a),Educação
2540,Heloisa Pereira,391.547.628-55,42,10/03/1982,"Praça de Ramos
Castanheira
07246225 Mendes / GO",Ceará,Brasil,Ensino Superior,18518,1,Solteiro(a),Engenharia
2541,Srta. Maria Isis Carvalho,896.327.450-00,56,14/09/1967,"Passarela da Cruz, 58
Varzea Da Palma
44874-365 Montenegro / PE",Roraima,Brasil,Mestrado,16176,3,Casado(a),Engenharia
2542,Mariah da Mata,280.659.734-00,42,18/07/1982,"Travessa de Mendes, 2
Ernesto Nascimento
16185-498 Sá das Flores / AC",Amazonas,Brasil,Doutorado,5225,3,Solteiro(a),Tecnologia
2543,Asafe Camargo,958.316.720-77,40,28/02/1984,"Vila Câmara, 50
Fernão Dias
55166-012 Sales de Silveira / SP",Tocantins,Brasil,Mestrado,27434,3,Divorciado(a),
2544,Mariana da Luz,485.129.036-51,47,08/02/1977,"Alameda de Oliveira, 299
Céu Azul
98788348 Silveira / PI",Distrito Federal,Brasil,Ensino Fundamental,11373,1,Casado(a),Marketing
2545,Sr. Thomas Gonçalves,754.860.231-62,46,25/06/1978,"Largo de Abreu, 189
Mariano De Abreu
09833912 Nunes de Silveira / PR",Alagoas,Brasil,Ensino Médio,22904,3,Viúvo(a),Marketing
2546,Bruno Pereira,740.638.952-38,19,07/05/2005,"Lago Pedro Fernandes, 2
Fernão Dias
26578561 Mendonça / SE",Goiás,Brasil,Mestrado,2120,2,Viúvo(a),Saúde
2547,Sra. Sophia Camargo,674.231.509-16,58,28/10/1965,"Viaduto Teixeira, 315
Santa Lúcia
68368-201 Mendes de da Conceição / PA",Mato Grosso do Sul,Brasil,Doutorado,7610,4,Solteiro(a),Administração
2548,Erick Duarte,896.541.327-37,49,26/02/1975,"Estrada de Albuquerque, 248
Vila São João Batista
12788020 Camargo Alegre / AL",Rio Grande do Norte,Brasil,Ensino Fundamental,22656,2,Solteiro(a),
2549,Lara Sampaio,231.578.964-82,37,16/01/1987,"Pátio Ágatha Rodrigues
Lorena
85726707 Gonçalves Alegre / GO",Santa Catarina,Brasil,Doutorado,6088,0,Casado(a),Saúde
2550,Igor da Costa,062.748.391-78,34,13/11/1989,"Lago de Carvalho
Mirante
53965747 Correia / AC",Pernambuco,Brasil,Doutorado,12012,3,Solteiro(a),Tecnologia
2551,Sra. Letícia da Luz,704.258.931-97,57,17/09/1966,"Lagoa Yan Cavalcanti, 6
Jardim Do Vale
21326865 Moura / PA",Rio de Janeiro,Brasil,Ensino Médio,10575,2,Viúvo(a),
2552,Júlia Peixoto,694.273.150-16,30,05/10/1993,"Sítio de Novaes, 8
União
76196-028 Pinto / DF",Sergipe,Brasil,Ensino Médio,2649,1,Casado(a),Marketing
2553,Agatha Lima,260.739.541-07,36,13/04/1988,"Rua Macedo, 5
Mariano De Abreu
15403814 Pinto Paulista / SP",Goiás,Brasil,Ensino Superior,14168,4,,Educação
2554,Otávio Nascimento,627.581.349-00,23,03/04/2001,"Jardim Rios, 50
Barão Homem De Melo 3ª Seção
48715-703 Lima / PA",Goiás,Brasil,Ensino Médio,6173,0,Solteiro(a),Saúde
2555,Luan Duarte,634.175.092-70,45,11/02/1979,,,Brasil,Doutorado,21077,4,,Saúde
2556,Maria Helena Leão,490.163.852-15,50,01/12/1973,"Via Campos, 152
Antonio Ribeiro De Abreu 1ª Seção
67439-394 Sousa / MS",Espírito Santo,Brasil,Pós-Graduação,7110,1,Solteiro(a),Administração
2557,Allana Nascimento,347.951.802-88,54,12/07/1970,"Travessa Manuella Moreira, 62
Vila União
40122693 Moraes do Oeste / PB",Paraíba,Brasil,Mestrado,10762,1,Casado(a),Educação
2558,Davi Luiz da Rosa,534.829.061-06,57,31/10/1966,"Residencial de Novais, 88
Vila Piratininga Venda Nova
59740-273 da Cunha do Campo / RS",Pernambuco,Brasil,Doutorado,18392,3,Viúvo(a),Administração
2559,Dr. Anthony da Mota,346.510.827-26,26,26/07/1998,"Área Bella Duarte, 339
Unidas
69858-222 Cavalcante / AP",Roraima,Brasil,Mestrado,12431,0,,Educação
2560,Nicolas Leão,572.409.386-38,44,16/11/1979,"Residencial Fonseca, 25
Vila Esplanada
98662-036 Gomes / SE",Rio Grande do Sul,Brasil,Pós-Graduação,7796,0,Divorciado(a),Educação
2561,Davi Luiz Costa,812.603.594-33,56,07/06/1968,"Aeroporto João Miguel Fernandes, 99
Santa Tereza
02590-912 Pimenta das Flores / RR",Santa Catarina,Brasil,Pós-Graduação,2061,2,,Saúde
2562,Vicente Abreu,346.728.910-03,47,06/06/1977,"Vila Theodoro Montenegro, 71
Marçola
51142182 das Neves / ES",Alagoas,Brasil,Ensino Superior,18448,3,Casado(a),Tecnologia
2563,Srta. Milena Cunha,025.468.397-56,29,19/04/1995,"Quadra Câmara, 543
João Paulo Ii
08659-638 Camargo da Praia / RJ",Minas Gerais,Brasil,Mestrado,1728,4,Viúvo(a),
2564,Leandro Cavalcante,340.716.528-53,44,28/01/1980,"Residencial Ribeiro, 98
Vila Paris
68901449 Vieira / MA",Rio de Janeiro,Brasil,Mestrado,24038,4,Viúvo(a),Tecnologia
2565,Yuri da Mata,579.214.860-02,35,04/02/1989,"Núcleo Theo Novaes, 4
Independência
63668-898 Fernandes Paulista / AP",Amapá,Brasil,Mestrado,23093,1,,Educação
2566,Liz Nogueira,985.031.274-23,57,08/04/1967,"Alameda Cassiano, 28
Conjunto Celso Machado
89619278 Moura do Campo / PI",Ceará,Brasil,Mestrado,1870,4,Casado(a),Tecnologia
2567,Milena Costela,801.639.547-39,31,30/08/1992,"Viela Davi Lucas Pimenta, 1
Alta Tensão 1ª Seção
43524619 Vieira de Minas / PE",Mato Grosso,Brasil,Mestrado,5656,3,Casado(a),Tecnologia
2568,Mariah Andrade,180.934.275-97,18,07/05/2006,"Ladeira Barbosa, 42
Outro
63345167 Pacheco / CE",Acre,Brasil,Pós-Graduação,14674,0,Divorciado(a),Administração
2569,Gabriel Mendonça,485.603.129-51,55,04/04/1969,"Travessa de da Rosa, 8
Delta
23485714 Martins das Flores / SP",Piauí,Brasil,Ensino Superior,4981,0,,Tecnologia
2570,Cauã da Luz,467.589.021-02,53,17/02/1971,"Campo Cecília Casa Grande, 65
Pindorama
47307-171 Aragão do Norte / MS",Bahia,Brasil,Ensino Médio,26817,1,Solteiro(a),
2571,Isadora Ramos,920.863.751-40,21,25/04/2003,"Jardim de Jesus
Barão Homem De Melo 1ª Seção
65486013 da Mata / SE",Paraná,Brasil,Ensino Médio,3852,3,,Marketing
2572,Joaquim Aragão,896.072.534-00,29,09/04/1995,"Parque de da Cruz, 40
Monsenhor Messias
38740990 Cirino das Pedras / RJ",Amazonas,Brasil,Mestrado,15145,2,,
2573,Ana Liz da Mata,691.328.704-69,52,16/07/1972,"Ladeira de Abreu, 9
Madre Gertrudes
46834024 da Mota / ES",Rio de Janeiro,Brasil,Ensino Médio,23754,0,Solteiro(a),Saúde
2574,Pietro Caldeira,570.248.391-04,32,17/02/1992,"Núcleo de Borges, 69
Vista Alegre
28707159 Lima de Mendes / RR",Alagoas,Brasil,Mestrado,12038,4,Divorciado(a),
2575,Sra. Gabrielly Martins,923.840.157-88,43,11/12/1980,"Colônia Mathias Cavalcante, 652
São Francisco
64451-517 Camargo de Pastor / MT",Minas Gerais,Brasil,Pós-Graduação,3371,4,Solteiro(a),
2576,José Miguel Nunes,580.179.643-66,54,22/07/1970,"Setor Ester da Mata, 306
Itatiaia
12491865 das Neves das Pedras / ES",Rio Grande do Sul,Brasil,Pós-Graduação,26703,3,Divorciado(a),
2577,Emanuel Gonçalves,782.039.541-97,21,06/10/2002,"Aeroporto Alice da Cruz, 518
Dom Cabral
25489-308 Oliveira / AM",Acre,Brasil,Ensino Superior,13809,3,Divorciado(a),
2578,Maria Vitória da Costa,917.036.254-80,31,01/04/1993,"Pátio Maria Vitória Novaes
Betânia
48344-451 Camargo de Minas / BA",Roraima,Brasil,Ensino Médio,1574,1,Divorciado(a),Administração
2579,Anthony Barros,715.846.329-09,27,25/09/1996,"Ladeira Siqueira, 4
Lagoa
98863-888 Cunha do Oeste / RJ",Paraíba,Brasil,Mestrado,9267,2,Viúvo(a),Educação
2580,Isabelly Vieira,,35,29/09/1988,"Praça Garcia, 6
Ribeiro De Abreu
64649438 Caldeira / RS",Tocantins,Brasil,Ensino Superior,22011,3,Viúvo(a),Engenharia
2581,Ana Júlia Fogaça,293.156.804-05,22,02/01/2002,"Feira Monteiro, 49
Betânia
90886-770 Moura da Praia / RJ",Paraíba,Brasil,Mestrado,20329,2,,Administração
2582,Ravy Freitas,072.643.189-31,29,20/01/1995,"Via Kamilly Cardoso, 799
Lorena
15261358 Cunha / RS",Santa Catarina,Brasil,Ensino Fundamental,29474,3,Viúvo(a),Engenharia
2583,João Pedro Araújo,138.029.567-02,51,22/10/1972,"Jardim de Machado, 98
Delta
74719-354 Costa / MT",Maranhão,Brasil,Pós-Graduação,17712,3,Viúvo(a),Engenharia
2584,Henry Gabriel Mendonça,265.780.941-30,60,29/03/1964,"Recanto de Cunha, 768
Candelaria
48675691 Carvalho / MS",Bahia,Brasil,Mestrado,16012,1,,Saúde
2585,Isaque Farias,189.765.402-20,49,03/12/1974,"Viaduto Emanuel Barros, 688
Beija Flor
64981-188 Macedo do Norte / RS",Mato Grosso,Brasil,Pós-Graduação,9102,2,Divorciado(a),Educação
2586,Matteo Pires,078.196.245-58,29,18/05/1995,"Setor de Rocha
Piratininga
73568-813 Albuquerque Alegre / PA",Mato Grosso,Brasil,Ensino Médio,9130,1,Solteiro(a),Educação
2587,Lorenzo da Mata,875.193.240-79,48,08/10/1975,"Área de Alves, 73
Vila São Gabriel
18204503 Câmara / AL",Rio Grande do Norte,Brasil,Mestrado,14115,0,Casado(a),Marketing
2588,Juliana Carvalho,485.217.630-26,33,12/10/1990,"Lagoa da Cunha, 49
Vila Piratininga
74397-250 Albuquerque / TO",Amazonas,Brasil,Doutorado,7763,4,Solteiro(a),Engenharia
2589,Antony Cavalcante,527.019.384-14,26,11/11/1997,"Rodovia de Farias
Prado
41250407 Teixeira Alegre / MS",Rio de Janeiro,Brasil,Mestrado,21647,4,,
2590,Bianca Pastor,653.481.092-15,24,26/06/2000,"Distrito Gabriel Araújo
Havaí
96777185 Vargas de Minas / GO",Maranhão,Brasil,Doutorado,27985,4,Solteiro(a),Educação
2591,Antônio das Neves,532.871.640-07,35,22/02/1989,"Loteamento de Pastor, 3
Vila Paris
55976-982 Barbosa / SP",Pernambuco,Brasil,Ensino Médio,8781,4,Casado(a),Saúde
2592,Bárbara Marques,420.357.189-88,24,16/11/1999,"Morro Aragão
São Tomaz
39477504 da Cunha do Campo / MS",Distrito Federal,Brasil,Ensino Superior,15285,1,Casado(a),Educação
2593,Bernardo Santos,036.854.129-06,50,14/11/1973,"Passarela Ryan Borges, 33
Sport Club
43578189 Ribeiro Grande / RR",Bahia,Brasil,Ensino Fundamental,13288,3,Viúvo(a),Engenharia
2594,Benicio Garcia,159.034.287-97,60,06/07/1964,"Distrito de Costela, 50
João Pinheiro
61503423 Caldeira / TO",Rio Grande do Norte,Brasil,Mestrado,11710,3,Solteiro(a),Tecnologia
2595,Raul Pimenta,052.379.418-50,42,19/05/1982,"Condomínio Lopes, 491
Tirol
57563947 Moreira Alegre / PB",Pernambuco,Brasil,Doutorado,20262,1,Solteiro(a),Saúde
2596,Sr. André Fogaça,692.351.708-77,19,01/01/2005,"Estrada Maria Sophia Gonçalves, 87
Mariano De Abreu
67156-681 Farias Grande / ES",Mato Grosso do Sul,Brasil,Ensino Superior,17985,4,Viúvo(a),Engenharia
2597,Lívia Moraes,638.579.210-21,46,01/02/1978,"Morro de Freitas, 1
Vila Cloris
18523-702 Rios do Galho / GO",Acre,Brasil,Ensino Médio,21438,0,Solteiro(a),Administração
2598,Manuela da Rosa,473.521.698-73,19,02/02/2005,"Vila Gomes, 242
Tupi A
34313785 Jesus de da Rocha / RR",Distrito Federal,Brasil,Mestrado,18182,1,,
2599,Sabrina das Neves,058.142.976-11,31,05/08/1993,"Lago de Ferreira, 70
Inconfidência
24113775 Mendes / MA",Piauí,Brasil,Ensino Superior,8223,3,Solteiro(a),
2600,Carolina Sampaio,479.562.381-37,20,16/11/2003,"Lagoa Vinícius Ferreira, 18
Vila Fumec
44057-782 Porto de Costela / CE",Rio Grande do Sul,Brasil,Mestrado,6367,1,,Educação
2601,Dra. Ágatha da Luz,180.569.372-77,23,13/07/2001,"Passarela de Peixoto, 36
Estrela
22222963 Novaes de Cavalcante / PB",Sergipe,Brasil,Pós-Graduação,2305,4,Casado(a),Tecnologia
2602,Vinícius Rios,571.296.043-52,45,15/01/1979,"Fazenda Sá, 41
São Francisco
77288-435 Barbosa / BA",Bahia,Brasil,Ensino Médio,21351,1,,Administração
2603,Arthur Freitas,219.804.653-98,36,23/11/1987,"Condomínio Nogueira
Vila Betânia
59690-124 Leão / AL",São Paulo,Brasil,Ensino Superior,28445,3,Solteiro(a),Saúde
2604,Lucas Gabriel Peixoto,902.748.635-29,51,03/01/1973,"Vale Lívia Lima
Nova Esperança
86943097 Sá / TO",Paraíba,Brasil,Doutorado,27259,3,Viúvo(a),Saúde
2605,Eloá Lima,203.871.695-12,31,06/11/1992,"Rua de Monteiro, 37
Aarão Reis
19256-821 Vasconcelos / DF",Bahia,Brasil,Ensino Médio,27906,0,Divorciado(a),Engenharia
2606,Davi Lucas Moura,249.735.160-07,41,27/03/1983,"Viaduto de Oliveira, 17
Flavio Marques Lisboa
26078139 Camargo / TO",Minas Gerais,Brasil,Ensino Fundamental,16006,1,Casado(a),Saúde
2607,Luna Sá,382.971.640-04,57,27/11/1966,"Sítio de Camargo, 84
São Gonçalo
16929-483 da Costa / SC",São Paulo,Brasil,Ensino Fundamental,6323,0,Divorciado(a),
2608,Júlia Pereira,201.357.498-32,20,09/08/2004,"Distrito de Cassiano, 11
Santa Maria
56929-025 Monteiro / MG",Santa Catarina,Brasil,Ensino Fundamental,28335,2,Solteiro(a),Administração
2609,João Guilherme da Cunha,832.105.749-79,19,27/01/2005,"Avenida Aparecida, 6
Garças
05667828 Silva de da Rocha / BA",Rio de Janeiro,Brasil,Ensino Fundamental,11905,1,Divorciado(a),Tecnologia
2610,Dra. Ana Sophia Ramos,459.032.876-38,37,12/11/1986,"Parque de Ramos, 3
Suzana
37521-733 Siqueira de Barbosa / PB",São Paulo,Brasil,Ensino Médio,29156,2,Divorciado(a),Saúde
2611,Davi Miguel Silva,370.584.621-35,39,20/08/1985,"Setor Albuquerque, 6
São Jorge 3ª Seção
36564408 Macedo / MS",Espírito Santo,Brasil,Ensino Fundamental,12595,1,,Educação
2612,Lívia Cavalcante,649.208.153-60,24,16/09/1999,"Lago Fonseca, 183
Vila Santo Antônio
14857139 Fonseca Paulista / RJ",Rio Grande do Norte,Brasil,Ensino Superior,27619,0,,Saúde
2613,Rafael Campos,893.724.501-97,27,22/02/1997,"Vale Jade Sousa, 9
Vila De Sá
54501931 Nogueira / AC",Santa Catarina,Brasil,Ensino Superior,12095,4,Solteiro(a),Administração
2614,Enzo Gabriel Casa Grande,902.418.657-94,38,17/04/1986,"Vereda Stella Melo, 77
Vila São Geraldo
29696-020 da Luz do Sul / AL",Pernambuco,Brasil,Doutorado,22366,4,Divorciado(a),Saúde
2615,Mirella Pimenta,165.972.403-16,53,05/04/1971,"Avenida Gomes, 16
Vila São Gabriel Jacui
86939-199 da Conceição das Flores / SP",Rio Grande do Norte,Brasil,Pós-Graduação,11822,4,,Educação
2616,Sr. Luiz Fernando Monteiro,214.087.539-79,26,17/11/1997,"Alameda Sá, 41
Vila Paris
83588292 Siqueira do Amparo / PB",Amapá,Brasil,Ensino Superior,19604,3,,Administração
2617,Eduardo da Rosa,609.275.834-29,33,14/02/1991,"Campo Ana Julia Nunes, 7
Conjunto Paulo Vi
42391-185 Costa de Sampaio / BA",Mato Grosso,Brasil,Ensino Médio,3230,0,Solteiro(a),Educação
2618,Marcela Novaes,259.716.483-73,44,19/08/1980,"Estação Garcia, 198
São Benedito
67149-915 Alves do Campo / ES",Pernambuco,Brasil,Pós-Graduação,29122,4,,Administração
2619,Catarina Novaes,945.032.876-56,32,04/09/1991,"Trevo de Mendonça, 52
Xangri-Lá
50719-504 da Cunha do Norte / SC",Pará,Brasil,Ensino Superior,25532,1,Divorciado(a),Tecnologia
2620,Ana Cecília Farias,472.689.051-49,20,05/04/2004,"Praia de Lima
Vila Pilar
07824566 da Rosa / PR",Rondônia,Brasil,Mestrado,26050,3,Solteiro(a),Engenharia
2621,Emilly Santos,102.743.895-41,53,24/09/1970,"Praça Pimenta, 33
Vila Mantiqueira
95814380 Barros do Oeste / PR",Pernambuco,Brasil,Ensino Médio,7464,1,,Engenharia
2622,Raul Caldeira,325.690.147-61,31,20/07/1993,"Favela Oliveira, 24
Tres Marias
09328-446 Mendes / MA",Rio de Janeiro,Brasil,Mestrado,18953,1,Solteiro(a),Administração
2623,Vinícius Fernandes,,42,26/11/1981,"Colônia Freitas, 5
Dom Silverio
37306-290 Sampaio das Pedras / AP",Alagoas,Brasil,Ensino Médio,23530,1,Divorciado(a),Saúde
2624,Sara Jesus,732.168.950-68,30,12/07/1994,"Alameda da Mota, 69
Vila Jardim São José
37945-525 da Mota / RN",Ceará,Brasil,Ensino Fundamental,25233,0,Solteiro(a),Tecnologia
2625,Léo Gonçalves,483.791.506-00,28,18/11/1995,"Morro da Luz, 63
Vila São Gabriel
72712319 Pereira da Prata / MS",Ceará,Brasil,Mestrado,5048,1,Viúvo(a),
2626,Daniel Gonçalves,526.971.483-37,18,08/10/2005,"Vale Raul Teixeira
Vila De Sá
71967718 Fernandes / ES",Paraíba,Brasil,Ensino Médio,5862,2,,Tecnologia
2627,Luísa Abreu,647.829.510-94,22,02/04/2002,"Vila Caldeira, 26
Mantiqueira
08491-179 Camargo de Mendonça / AM",Paraíba,Brasil,Ensino Fundamental,25088,2,Viúvo(a),Administração
2628,Pietro da Cruz,572.346.189-37,51,29/01/1973,,,Brasil,Pós-Graduação,19573,1,Casado(a),Educação
2629,Srta. Juliana da Rocha,461.053.798-20,55,02/01/1969,"Viaduto Leandro Rodrigues, 15
Marieta 3ª Seção
48544990 Fernandes / SC",Pará,Brasil,Ensino Fundamental,29257,3,Casado(a),Educação
2630,Maya Vasconcelos,362.784.519-64,23,29/03/2001,"Estação da Cunha, 79
Vila Paraíso
97038-537 Leão do Norte / MS",Amapá,Brasil,Mestrado,16385,3,Viúvo(a),Marketing
2631,Lívia Machado,950.381.476-66,59,18/07/1965,"Rodovia de Sá
Barão Homem De Melo 2ª Seção
50989069 da Mata / MG",Amazonas,Brasil,Ensino Médio,28854,4,,Marketing
2632,Nicolas Peixoto,592.814.703-14,34,14/04/1990,"Viela Gabriel Araújo, 73
Camargos
67418-221 Freitas das Pedras / PA",Pernambuco,Brasil,Pós-Graduação,15663,0,,Tecnologia
2633,Srta. Bianca Moreira,143.850.627-90,60,25/07/1964,"Aeroporto Maya da Mata, 81
Vila Das Oliveiras
61595004 Araújo / AM",Amapá,Brasil,Ensino Médio,7749,2,,Administração
